"fact","id"
"a  drought  can change the color of an environment from green to brown","9b65-3215-0384-875a"
"microbial fuel cells   convert   chemical energy; biomass into electrical energy","7304-b7d4-acdd-7486"
"phase changes   change   the arrangement of molecules       in a substance; in a sample","08c0-16d0-2d6d-8df7"
"an electric stove   changes   electrical energy into heat energy","5b6b-8d51-f9ee-15a3"
"an electric stove   changes   electrical energy into heat energy","b5f7-bcb9-8d81-2e40"
"combustion means  fire   converts   chemical energy into light energy and heat energy","941b-2c2b-0aae-ee3a"
"an automobile engine   converts   chemical energy into mechanical energy and heat energy","f0cd-b7f6-bce4-9c6c"
"the gravitational force of a planet; of a celestial object  does not change the mass         of an object on that planet or celestial body","e6db-88b1-24ea-e69f"
"bacteria in soil  convert   atmospheric nitrogen into ammonia for plants","12bc-e9da-82da-8568"
"a fan   converts   electrical energy into mechanical energy; heat energy; sound energy","b560-68a2-6ddb-ce23"
"a deciduous tree's leaves  usually change color         in the autumn season","b16d-c878-d4ea-fe5f"
"a gasoline lawn mower   converts   gasoline into kinetic energy; motion","da10-c0ff-cdcc-35e7"
"a wildfire   changes an ecosystem         drastically","d7f0-79fc-ed38-504f"
"a firecracker   converts   chemical energy into sound energy and light energy and heat energy","e14a-e7b8-da48-8996"
"a radio   converts   electrical energy into vibrations; sound energy","e415-b001-21ba-0215"
"speaker   converts   electrical energy into vibrations; sound energy","d201-bf2c-27ec-14a0"
"speaker   converts   electrical energy into vibrations; sound energy","ff35-14d7-c71b-fe72"
"hurricanes   convert   heat energy into mechanical energy","5259-b2d6-441d-4843"
"nuclear fusion   changes the mass of nuclei","21f4-a6b6-0a58-bd1a"
"sublimation means  matter; a substance   changes  from a solid into a gas   by increasing heat energy","1613-c8b2-f818-85be"
"desublimation; deposition means  matter; a substance   changes  from a gas into a solid   by decreasing heat energy","3002-4c80-039d-2114"
"metamorphosis of rocks is when  rocks   change  from  one type into another type   by  extreme heat and pressure","30e6-16d1-5abe-2b83"
"definite shape means  the shape of an object  stays the same         when moved to different spot","31fa-7a0b-11b1-c0fa"
"weather   changes          from seasons to seasons","3fec-edd9-b5db-ff29"
"moving away from the source  increases the distance","2139-9134-1cc2-2c33"
"horizontal change of motion do not change the potential energy         of an object","80e4-a719-2ea2-3624"
"stopping a moving object      changes   kinetic energy into potential energy","afa2-2d9f-9435-0d36"
"hydropower; a hydroelectric power plant   converts   kinetic energy; water falling into electricity; electric energy","7dca-fb0b-9471-efd5"
"a tidal generator; a tidal power plant   converts   tidal energy; wave energy into electricity; electric energy","b1ec-8df3-25d3-01d4"
"a geothermal power plant   converts   geothermal energy into electricity; electric energy","536c-2d19-0c19-8690"
"burning fossil fuels   converts   potential energy into thermal energy","66a3-8213-aabe-5609"
"a  greenhouse   converts sunlight from radiation into thermal energy","f26c-fe95-6f4c-c4ba"
"wave action   changes the shape of the beach       by mechanical energy","d92c-f3a3-a65f-a7fb"
"a  heat engine   converts   heat energy into mechanical energy","6e6a-9e09-fc7c-fb89"
"refraction   changes the length and the direction of light","0536-2ba5-dcb0-06af"
"a coal power plant; a fossil fuel power plant; a natural gas power plant   converts an energy source from chemical energy into electricity; electrical energy","635a-5126-9cf1-4fe4"
"a coal power plant   converts an energy source from coal into electricity; electrical energy","4ba0-cce5-f474-424a"
"a fossil fuel power plant   converts an energy source from fossil fuels into electricity; electrical energy","c5a4-2b32-95ad-bc14"
"a natural gas power plant   converts an energy source from natural gas into electricity; electrical energy","51e6-e28b-9682-34e4"
"a nuclear power plant   converts an energy source from nuclear energy into electricity; electrical energy","24ba-c45f-922f-efd6"
"solar cells   convert   solar energy into electrical energy","66e0-20b6-da6c-8421"
"the formation of lightning   converts   mechanical energy into electrical energy","a087-5c2c-b0d4-cb06"
"an electric motor   converts   electrical energy into mechanical energy","6cee-7656-3eaa-7124"
"photovoltaic cells   convert   light energy into electricity; electrical energy","94cd-574c-c925-3eff"
"the radio   converts   radio waves into mechanical waves     in the speaker","6e4e-a5f9-8fdc-3cc6"
"a lit candle   converts   chemical energy into light energy; heat energy","a0c0-46f3-3dd1-09e4"
"an endothermic reaction   converts   heat energy into chemical energy","e114-ec47-36df-0886"
"comet striking a planet   converts   kinetic energy into thermal energy","75f1-4abc-3fc1-e959"
"friction   converts   mechanical energy into heat energy","2049-7f3d-b2f3-a0a3"
"active transport      converts   chemical energy into mechanical energy","30b6-855b-b5d4-ff93"
"human activity   changed the composition of the atmosphere         over the last hundreds of years","3b6c-ddaa-8c14-f31f"
"energy transformation means  one kind of energy   changes    into another kind of energy","3d34-b43e-8a7e-07fd"
"cutting means     changing the object from a whole into smaller pieces","8bde-7729-7914-ff27"
"a  disruption  of an ecosystem can cause an extinction","a01f-9582-50f1-7b14"
"ocean currents   change the world climate       by transferring heat to and from various regions","4c25-60d5-fb41-8bbc"
"losing electrons   changes   the charge of an object into positive","d892-08e0-5698-a7fc"
"gaining electrons   changes   the charge of an object into  negative","d6c5-5697-0810-a5ea"
"burning   converts   chemical energy into thermal energy","ed2d-706b-57dc-cd41"
"deposition   changes the Earth's surface","1aaf-f98d-d1e9-a08b"
"erosion; weathering   changes the Earth's surface","4267-93f0-e703-47f2"
"acid produced by some trees can change the soil chemistry","daf9-3b53-ab99-f645"
"chemical weathering  can change   the limestones into  highly porous form","ab06-762c-cce1-e394"
"formation in the rock cycle means  an old class of rocks   changes    into  a new class of rocks","3179-e5c7-2920-6db8"
"erosion and deposition     can change   metamorphic rock into  sedimentary rock","be57-b419-d43a-a455"
"species from long ago  have changed          over time","4ca1-e214-501e-3c55"
"the collision  of tectonic plates  changes the order of the rock layers       by compressing rock layers into faults and folds","3cd1-387d-9bdf-bf9f"
"electrolysis of water  is when  water   is decomposed    into  oxygen and hydrogen   by passing electric current through water","cc77-e071-37ce-4b95"
"abrasion      changes rocks from rough into  smooth; round","cfd7-7ab4-8396-4d7a"
"deflection is when  an object   changes its moving direction","6ee2-6f91-4689-ec27"
"subduction      converts large amount of  mechanical energy into thermal energy","7bbc-74be-96f0-3ec8"
"nuclear fusion      converts   hydrogen into helium","be6c-78e9-7762-22e3"
"temperature change do not  change the color         of the object","eaab-8903-4b3b-cb0a"
"temperature change   changes the volume         of the object","388c-4082-979f-9ad8"
"the breakdown of ozone is when  ozone absorbing ultraviolet light   changes   ozone into oxygen","7dbf-cb65-4ad5-84ca"
"extreme heat and pressure   compact   sediments into sedimentary rocks","71ba-ef2d-fb5f-33fc"
"electromagnetic radiation   distorts the frequency         of the radio waves","7979-8293-8f4a-4767"
"destroying animal habitats   changes the ecosystem","8128-ebc7-48de-df5d"
"matter with variable shape  changes shape         in different container","2fcc-e1b8-1198-9d11"
"stars   change type         during their life cycles","7371-ffed-8403-0337"
"the Doppler Effect is when  the distance from the wave source  changes the frequency         of the waves","44df-5a0a-23f4-7a7b"
"stretching   changes the shape         of an object","9d13-75dd-6bda-4d9f"
"breaking an object into pieces  changes the shape         of the object","f51e-d087-c2c3-de6c"
"Calcium; Beryllium; Strontium; Radium; Barium; Magnesium belongs to alkaline earth metal family , group 2 on the periodic table","74db-af44-c803-040e"
"helium; neon; argon; krypton; xenon; radon belongs to noble gases family , group 18 on the periodic table","6c1d-31a9-db5a-6b07"
"lithium; sodium; potassium; rubidium; caesium; francium belongs to alkali metals , group 1 on the periodic table","1b97-cdfe-55ae-ac9d"
"Fluorine; Chlorine; Bromine; Iodine; Astatine belongs to halogens family , group 17 on the periodic table","7eb8-8fb8-37c4-5dd6"
"oxygen; selenium; sulfur; tellurium; polonium belongs to oxygen family , group 16 on the periodic table","83f3-71f5-10e2-cb64"
"gold belongs to transitional metal family ,  group 11 on the periodic table","f283-61b0-deca-b56e"
"nitrogen; arsenic; phosphorus; antimony belongs to nitrogen family , group 15 on the periodic table","ee5c-bc13-caa0-1e9d"
"nonmetals are found to the right of the zigzag line on the periodic table of elements","e55f-85e0-088b-8717"
"gases are found to the right of the zigzag line on the periodic table of elements","59b8-3f62-8cdd-abf3"
"the most reactive nonmetals are found at the second column from the right side on the periodic table of elements","e2e8-37cc-a168-e128"
"noble gases are found at the rightmost side  on the periodic table of elements","1580-85ca-7cae-41e1"
"the most reactive metals are found at the column at the far left side on the periodic table of elements","3721-0fa4-2132-da7a"
"manganese are found next to Chromium  on the periodic table of elements","6639-08bf-a5cb-32b1"
"alkali metals are found at the left side; first column  on the periodic table of elements","e848-8af0-e3c9-352f"
"hydrogen is found at the left side; first column  on the periodic table of elements","f5d1-91ef-8ed4-28fa"
"metals are found at the left side    on the periodic table of elements","63a1-d74d-3a46-09f1"
"gas   has  a a lower  melting point  than   liquid","9262-950a-15c4-21e8"
"liquid   has  a a lower  melting point  than   solid","8acd-cc48-2a22-3e00"
"red giant stars    are   greater in volume   than   main sequence stars","abd0-0bef-48f6-1764"
"red giant stars    are   cooler in temperature   than   main sequence stars","e31c-548b-06b7-3674"
"red giant stars    burn at  a cooler temperature   than   main sequence stars","ced1-06b4-a06c-4576"
"renewable resources   are replenished   more quickly    than   they are used","9997-39e4-b71d-1e0d"
"non-black objects   absorb   less  amount of sunlight  than   black objects","3c5a-d20d-5c28-6b2b"
"black objects   absorb  the most  amount of sunlight","8ecf-536f-d882-ff06"
"white objects   absorb  the least  amount of sunlight","a0c7-b0f4-3d60-28cf"
"darker objects   absorb   more  sunlight  than   lighter objects","d216-ed40-591f-e650"
"Nevada mines   produces   more  gold  than   other state","c8e2-98be-74c4-ed66"
"the  crust   is  the thinnest  layer of Earth","d069-01b5-1857-1e9e"
"organs   are  a smaller  level of organization  than  organ systems  in living things","7ca0-1089-bc86-607b"
"summer   has  the most  sunlight","564e-eb72-a12b-dbaa"
"winter   has  the least  sunlight","0be4-4606-4a12-f564"
"metamorphic rocks   are   harder    than  sedimentary rocks","50f6-6629-e2e5-5526"
"the  air  over land is   less warm; less humid; less moist    than the air  over ocean","1c46-75fe-983f-4d60"
"ocean   is  the largest  body of water on Earth","b796-7088-2b45-5543"
"an  ocean   is   larger    than a river","fe73-be86-1f03-5794"
"the  atom   is  the smallest  unit; particle that has the properties of an element","9059-174e-fc66-fd7a"
"cells   are  a smaller  level of organization  than  tissues  in living things","85d2-d559-7a0a-aa1d"
"a  domain   is  the broadest  group into which organisms can be classified","2ca3-02db-0e83-8add"
"desserts  usually have   less  nutrients  than  other food","b533-486f-b4ef-9f35"
"a warm environment usually  has   more  food  than a cold environment","3790-b270-8d3d-1eb6"
"helium   is   lower; less in density   than  air","72a5-1765-e949-fbcc"
"a  hill   is   more rounded    than a mountain","e0d7-0844-65c7-8fc5"
"a  law   is   more accepted; more tested    than a theory","86ee-237a-77cd-1a4e"
"living things  in the same class are   more closely related    than  living things  in different classes","1335-3054-6045-64e9"
"the  mantle   is  the thickest; largest  layer of the Earth","4304-bb9c-ab60-91fd"
"metals usually  have   higher; greater  conductivity  than  nonmetals","116e-9e09-bc2b-5162"
"metals usually  have   higher   melting points  than  nonmetals","0ec5-4fef-39bb-0071"
"a planet's moon   is   smaller    than that planet","3e43-6c70-96a7-964f"
"the  moon   is   less bright    than the Sun","53cf-161f-7a43-8925"
"the  Moon   has   less  water; air  than the Earth","d4af-f053-7231-894d"
"a  mountain   is   taller    than a hill","456d-ae75-254e-3289"
"a  mountain; hill   is   taller    than the land   around it","4b11-acb9-f189-dd26"
"Neptune   has  the longest  solar year; planetary year in the solar system","7c64-997c-96de-8e57"
"Mercury   has  the shortest  solar year; planetary year in the solar system","138c-781d-b80c-20b9"
"New York   is   closer  to the North Pole  than  Florida","b973-d18a-c04b-5260"
"the  night   is   cooler in temperature   than the day","7776-3880-0a8c-9715"
"nutrients   are   simpler    than  food","0f7c-76df-6fe6-24c9"
"a part of; piece of an object   is   smaller in size   than the entire object; whole object","87d4-163c-b8bc-4a9f"
"particles  in a solid are   slower    than  particles  in a liquid","6f72-28ca-e772-7204"
"particles  in a solid are   closer   together than  particles  in a liquid","3029-78ca-6899-d72f"
"particles  in a liquid are   closer   together than  particles  in a gas","f4ce-2fa7-0e7d-8065"
"particles  in a liquid are   slower    than  particles  in a gas","a3bb-516f-8a35-2591"
"a  pond   is   smaller; shallower    than a lake","c917-2bee-cc99-191a"
"a  star usually  is   larger    than a  planet","d0a0-c566-15b4-8a30"
"stars   are  the hottest  object","8782-84b4-1ade-fcc8"
"a  theory   is   more accepted; more tested    than a hypothesis","50c9-18cc-aaa1-cc21"
"feathers   are   less dense    than  iron","fab4-4b36-50d2-b97b"
"ice   is   colder in temperature   than  water","3b5c-1ef3-7358-a156"
"water   is   colder in temperature   than  steam","85a6-050d-9582-c753"
"carbon dioxide   is   more dense    than the air","4ebc-f5fc-b1d0-fe40"
"silicate   is   less dense    than  iron","a061-825f-356c-7835"
"silicate   is   less dense    than  nickel","e67a-eb1a-e950-1e0b"
"magnesium   is   less dense    than  iron","1734-ce7f-d198-39d4"
"magnesium   is   less dense    than  nickel","91b6-1828-99dd-54a7"
"the  continental crust   is   less dense    than the mantle","f81b-d0b5-49b2-79a2"
"the  elements  from group 18; from noble gas family are  the least reactive  elements in the periodic table","61ea-1dfb-63f2-ae5e"
"the  elements  from group 18; from noble gas family are  the most unreactive  elements in the periodic table","4689-f4b8-39d2-b74f"
"nitrogen  as an elemental gas is   more stable    than  nitrogen compounds","ba38-8be0-1133-f105"
"red dwarf stars   are   cooler in temperature   than  yellow dwarf stars","e392-ac89-da7b-5d7b"
"the  troposphere   is  the densest  layers in Earth's atmosphere","b78d-056a-2211-754d"
"the  ocean trench   is  the  deepest  part of the ocean","87fd-d4a7-46f2-3895"
"electrons   have  the least  mass in an atom","e9c0-8a88-2136-b69c"
"neutrons   have   more  mass  than an electron","ef8f-2180-7214-e765"
"three   is   more    than  two","9527-042a-ea04-012f"
"basalt   is   more dense    than  granite","350a-57e1-551e-cfe5"
"the  deep rock layers   of Earth are   older    than the shallow rock layers","18cc-9663-7f18-359b"
"the  Earth   has   more   mass  than the moon","a466-06ef-e673-7a9e"
"the   Earth   absorbs   more  energy  than  it loses","9eb6-0cee-ef21-6534"
"fake plants   uses   less  water  than  real plants","9a3a-59a5-976b-aca7"
"gas-efficient engines   uses   less  gas; gasoline","5fdb-d810-519a-cdc1"
"sound   travels   fastest   through solid","814a-01e6-cbf5-bad6"
"sound   travels   slowest   through gas","7062-c249-9802-2f3f"
"light   travels   faster    than  sound","ffe9-e9a3-32d8-7f63"
"the  equator   receives   more  sunlight  than the poles  on Earth","6f54-6f77-4dff-56e3"
"the  water  on the surface of the ocean absorbs   more  sunlight  than the water  at bottom of the ocean","15c1-19fd-1416-7448"
"oceans   store   more  heat  than the continents","0bc3-7b35-46cc-8d7d"
"oceans   transfer   more  heat  than the continents","006e-efd2-0196-9de3"
"the  microwave   cooks food  faster    than the oven does","1e3c-d850-399f-194e"
"electric car   uses   less  gasoline  than a regular car","d4de-2953-15c1-fd7f"
"high-efficiency device   uses   less  energy","a0e1-11ea-7e9f-a6bd"
"solar winds   have   less  impact on the Jovian planets","ab60-af11-efaa-d611"
"hard objects   can vibrate   more    than  soft objects","b133-77cc-c0d8-4869"
"the  asteroid belt   contains  the largest concentration of asteroids in the solar system","6885-fe75-541d-f341"
"iron   has  a lower  specific heat  than  aluminum","ced6-9e18-c9f1-2643"
"a  cell    is  the smallest unit of an organism that can perform all of the processes of life","bc57-2b8e-205c-f305"
"element oxygen   is   more common    than  element hydrogen","35fe-ebfa-c4e0-b031"
"the  skin   is  the largest  organ in human body","0c6c-e0fe-511c-38f9"
"the  infrared light   is   longer in wavelength   than the visible light","8834-4691-61ef-488a"
"the  skin   is  the first; outermost  layer of the body of animals","c0c4-a98d-fae5-b065"
"the  Sun   is  the largest  celestial body in the solar system","13af-148e-6de8-60de"
"a  dwarf planet usually  is   much smaller in size; in mass   than  other planets","f560-c57a-5c13-8468"
"the  equator   receives  the most amount of direct sunlight throughout the year","cbae-470e-6ea8-ee3c"
"the  poles   receives  the  least amount of direct sunlight throughout the year","f3ea-d056-792e-2973"
"a  molecule   is  the smallest  particle; unit that has the properties of a compound","f25a-54b9-3641-f7e4"
"visible light   makes up  the  smallest  region; range in the electromagnetic spectrum","2586-fe98-8fef-83b1"
"electron    is  the smallest   particle in an atom","3936-ee86-4b71-d195"
"a  forest   receives   more  rainfall  than a desert","9dda-427e-3c1b-cbf0"
"a  grassland   receives   more  rainfall  than a desert","b924-964c-f3da-49a5"
"a larger power source   provide   more  current to a wire; a conductor; an electromagnet","e803-84aa-df43-bf8e"
"alligators  eat frogs; turtles; fish; mice; birds","aa17-e87c-2259-5f04"
"bats  eat insects","f2a3-ee07-16d7-56a0"
"bears  eat berries; insects; animals","e451-b512-f1d6-5d36"
"bees  eat pollen","de5e-63cc-6e02-60b7"
"bees  eat honey","cb75-fdec-6e2b-5a22"
"birds sometimes eat berries;seeds","a6aa-97ee-2e4a-a9ad"
"birds sometimes eat insects","a872-f6a2-a467-59ec"
"carnivores only eat animals","f2b6-e2f5-8939-94ae"
"clams  eat plankton","f36e-673b-b4e4-4ccb"
"consumers  eat other organisms","10c2-8847-99e1-057b"
"cows only eat plants","8280-558f-d30b-c051"
"eagles  eat fish","efb4-baee-b1ad-1184"
"eagles  eat rabbits","5ac6-9dc1-9a19-3eaa"
"hawks;eagles  eat snakes;lizards; rats; rabbits; mice","d28f-0727-460f-5ab6"
"herbivores only eat plants","57e4-c7f7-0031-fb0a"
"humans  eat crops","76c8-6933-622a-64f6"
"humans sometimes eat seeds","733f-086d-4dee-dbc3"
"humans sometimes eat fish","6a95-1b4c-9091-b182"
"insects  eat crops","b14c-4d0f-e45f-43ce"
"lion  eat zebras","40f1-6036-6301-1bd6"
"living things  eat their food source","63a5-ef65-1557-1aee"
"lizards  eat insects","625d-d91e-b300-b6dc"
"meadow voles  eat plants; insects","f42a-5078-a2d5-d36a"
"mussels  eat plankton","174d-13c8-3e30-a0ab"
"omnivores  eat plants; animals","3b62-4057-84c9-7743"
"oysters  eat plankton","79e5-832e-6953-f6da"
"predators  eat prey","fb00-41ad-f198-b5ac"
"predators; carnivores; omnivores  eat other animals","20a3-dcb5-8ce4-ae5c"
"rabbits  eat plants","dce1-e1d6-17ae-e024"
"raccoons  eat trash; garbage; waste","dc84-e95a-58d3-7e87"
"scavengers  eat dead organisms","207c-b6d1-fb72-d730"
"spiders  eat insects","6f0f-b8cf-4031-7444"
"squirrels  eat edible plants; fruit","de30-46f9-f287-cf05"
"tuna  eat fish","4134-b88a-654b-1cf3"
"wolves  eat elk; deer","d04d-a495-6d56-5e37"
"chipmunk  eats acorns","0d0a-cde4-107a-0c0b"
"fish  eat insects","adf9-b62a-6b73-48e7"
"foxes  eat rabbits","3fae-9420-7902-867d"
"frogs  eat insects","ddb1-4442-009a-a268"
"hummingbirds  eat nectar","a047-de39-c558-706a"
"salamanders  eat insects","ce9f-16c8-8945-2b63"
"bobcats  eat deers","d553-c83c-6f07-a058"
"panthers  eat deers","bed0-c2c0-3391-9bfb"
"owls  eat other animals","a6d6-2a36-a7b4-9553"
"hawks   eat other animals","937b-3200-0b5d-76d8"
"insects  eat plants","48ef-4a69-d5e8-8c72"
"goats  eat grass","077c-3a6f-4dde-c323"
"turtles sometimes eat worms","2cdd-bc45-2b41-8f05"
"birds sometimes eat other animals","b1fc-9fff-f2f6-ca70"
"carnivores sometimes eat herbivores","7f82-49a3-5e11-9471"
"acidic rainwater  contains  acid","1632-1fa8-8c28-5669"
"fruit  contains  seeds","ef49-c852-8727-d2dd"
"the  body of an animal contains  arteries; veins","f4b3-b8dc-89a2-0c84"
"the  waste of an animal contains  nitrogen","391c-4df9-175e-987e"
"arctic environment  covered in   snow","4f52-2d1c-8911-a996"
"the  atmosphere  contains  gases; liquids; solids","f1c6-1bc9-dda0-fc31"
"a  balloon  contains  gas","b859-0a35-7eea-8222"
"a beach ball   contains  gas","0b3c-fc05-1642-9a08"
"a  berry  contains  seeds","7f04-fd94-0d22-9ee4"
"a  bicycle  contains  levers; wheels and axles; pulleys; screws","f684-f2bb-f419-a1f1"
"bladders can contain  urine","8334-8d96-8065-aa1c"
"a  body of water  contains  water","b927-5436-1d17-c396"
"breath  contains  water vapor","ece6-3b70-33f4-3b98"
"a  bubble  contains  gas","a0e7-290b-5de1-5648"
"a carbonated beverage  contains  dissolved carbon dioxide","3145-65d7-0fa3-5857"
"a  channel  contains  moving water","65d2-8c35-9f57-0830"
"a  chloroplast  contains  chlorophyll","e856-9caa-346e-b925"
"cold environments  contain few organisms","d0ac-f4c5-d526-2831"
"a  constellation  contains  stars","db62-4c2e-6a9d-8b12"
"a  container of water contains  water","055f-62da-6f0f-9be5"
"a desert environment  contains very little food","9bf8-7511-a722-e068"
"a dry environment  contains little water","7376-0d97-1227-bd6a"
"the  Earth  contains many ecosystems","49a0-acc7-6fce-867f"
"an  ecosystem  contains a large community of; large numbers of living organisms","7a75-f74f-4c98-0f01"
"an  ecosystem  contains  nonliving things","8635-6b8d-0003-dc16"
"an electric car  contains an electric motor","9d1d-a854-c8ac-a4db"
"an  electromagnet  contains  a wire; cylindrical ferrous metal","f2e1-4ca1-4bfd-cbce"
"ferrous metals  contain  iron","7114-deda-e0a0-d3e9"
"fertilizer  contains  chemicals","a288-7e08-49cc-7661"
"a  field  contains  soil","2cc1-d93b-cea8-3b51"
"a  flower  contains  pollen for sexual reproduction","5505-0403-08c0-3571"
"food  contains  nutrients for living things","Good"
"food  contains  nutrients for living things","a4c9-5ade-9cc2-f3f0"
"food  contains  carbohydrates","d11d-a195-7042-efcc"
"a  forest  contains  lots of plants; trees","a54a-a04c-71eb-ba0a"
"a  glass  contains  water","d9da-e54d-cd61-36aa"
"grass does not contain  wood","1d29-f8d7-5834-aa6c"
"a  kit  usually contains  materials for assembling something","f8d3-af6e-2588-10ed"
"the  life cycle  contains  the stages     between birth and death","2d20-2234-7bcb-52be"
"a  limb often contains  bones","a237-4e63-f4c8-5e35"
"the lunar; moon's surface  contains many craters","c13a-75d9-afb9-ad21"
"a  magnet  contains a  north pole; south pole","6c20-4dbe-71da-0428"
"the  moon does not contain  air; water","982f-f6c0-b9e8-e203"
"the  moon's surface  contains  highlands","893f-916b-8ee1-9b98"
"the  moon's surface  contains  flat areas","3583-4f7d-77df-e26c"
"a multicellular organism  contains more than one cell","fd39-82bf-ca1d-2605"
"the muscular system  contains  muscles","0685-babe-a257-9fbe"
"a natural ecosystem  contains  native living things     only","9ed1-18d0-0ac0-c299"
"the nervous system  contains  nerves","4695-199f-eeab-4611"
"the  ocean  contains large amounts of salt water","a67b-a673-e85b-6310"
"an  ocean  contains  waves","3836-b248-bdff-be59"
"oceans  contain most of  earth's water","c0ad-4856-2d41-4fa9"
"pencil lead  contains  mineral graphite","73ef-3026-389a-20a2"
"a plant cell  contains  chloroplasts","4e64-cd5b-9e82-e218"
"a  plant stem  contains a  system of tubes for transporting water and nutrients   to other parts of the plant","d534-dac5-f81f-1e26"
"a  pumpkin  contains  seeds","c0ed-56a6-3f1e-b66c"
"refrigerators  contain  harmful chemicals","89d4-504e-26ea-25da"
"rocks often contain large amounts of metal","f853-8175-3c98-28c5"
"rocks sometimes contain  aluminum","5c99-06b6-7e1e-f150"
"rocks sometimes contain  iron","49e4-dd5f-a48b-76cc"
"room  contains  walls","1c37-9df2-350b-3c5a"
"runoff  contains  chemicals; fertilizer; pollutants; pesticides     from cropland","6029-2646-fb11-8753"
"soil  contains  nutrients for plants","ddcc-3b71-b14e-97d1"
"soil  contains  water; humus; weathered rocks; organic matter; sand; clay","24c1-678f-d0a3-2af7"
"the solar system  contains  the moon","b776-8099-262d-4b06"
"sunlight  contains  ultraviolet light","f1ae-4d95-7b44-91f9"
"the  surface of the Earth  contains  mountains","d9ac-bf1e-2efc-8abb"
"the  surface of the Moon  contains  mountains","d0ac-a3a5-dadc-df10"
"a  swimming pool  contains  water","4a43-1f50-d613-de3e"
"an  tennis ball  contains  gas","a34e-4c17-742b-c689"
"the  top layer of soil  contains the most nutrients","0738-f2c4-03a7-3a8b"
"a  trashcan  contains  trash; garbage; waste","7101-b26e-c0b0-1347"
"a  tree  contains  wood","bcc7-8811-5dcd-6e0f"
"wasp's stinger  contains  poison","1177-e0d7-4358-0204"
"water  contains  dissolved oxygen","f32e-0424-d7c1-e558"
"zoo exhibits should contain all things   required by the animals living in those exhibits","adb3-8ad7-befa-74c9"
"a poultry egg  contains  albumen","e073-b123-fb84-804c"
"an  aquifer  contains  groundwater","81ca-41a7-929e-5814"
"galaxies often contain hundreds of billions of stars","2d3b-e916-e50b-1ecc"
"living things in a polluted environment often contain  pollutants","eb00-1206-3bdc-1d35"
"a  pool of muddy water contains  mud","4af6-4c8f-e20d-4948"
"the  bonds of chemical compounds contain  chemical energy","3c5b-ad90-b6bc-f908"
"chemical compounds  contain  chemical bonds     between atoms; between elements","880b-ae92-483a-c9fa"
"a  typical galaxy  contains billions of stars","4280-6180-728d-6f3f"
"a  somatic cell of a human contains 23 pairs of; 46  chromosomes","e22d-775e-7301-e27d"
"a  sex cell of a human contains half the hereditary information     that a human body cell does","1cc0-03b5-7043-65ba-DEP"
"a  sex cell of a human contains 23 chromosomes","1cc0-03b5-7043-65ba"
"a fertilized egg cell of a human contains 46 chromosomes","12ee-aca0-c7d5-d7e0"
"a  chromosomes of a human contains thousands of genes","6d48-b9c8-7dcc-dd5a"
"a  prokaryotic cell does not contain  a nucleus","083a-29e5-a628-fb4b"
"the  atmosphere  contains  matter that reflects blue light","373d-431d-6cd3-aff1"
"fossil fuel  contains  chemical energy","bfa4-74ef-3e51-a3cb"
"the  nucleus  contains  genetic material for reproduction","afce-4d41-dcdd-13c0"
"organic compounds  contain  hydrogen","6129-95b7-29b6-b458"
"a  planet  contains  environments","000a-600e-7107-9dc4"
"rainforests  contain many species","3a60-1fd9-caa1-2275"
"coral reefs  contain many species","4985-245a-39fe-2acb"
"a  chromosome  contains  instructions for the passage of traits   from one generation to the next","ccf0-c126-d7ae-613b"
"a   chromosome  contains  genes","b54d-e85f-fdab-b943"
"a  battery  contains  chemical energy","bca4-02fa-0730-7e0a"
"hydrogen  contains  chemical energy","e8ff-2b58-8137-0e74"
"genes  contains  genetic information","e5cc-028d-dd22-6e8f"
"genetic information  contains  instructions for  the passage of traits   from one generation to the next","b132-b7bb-b8fe-0c19"
"a  nucleotide  contains one nitrogenous base","b7ba-a273-9121-751a"
"the  sequence of nucleotides  contains  genetic information     for the organism","dfc7-ea44-9a0a-a350"
"a  codon  contains three sequences of nucleotides","db9c-0555-d903-3a8f"
"a heterozygous organism  contains both dominant and recessive genes","bf6d-30bb-f14c-54bb"
"a  homozygous dominant organism  contains only dominant genes","acda-b7a0-d62c-ff9b"
"a homozygous recessive organism  contains only recessive genes","0df9-78d7-51d9-6e54"
"a  zygote  contains all the genes needed to develop into a new organism","729c-c7d9-4c36-3b10"
"a  classroom usually contains a low concentration of odor","8342-d54c-5a23-fdf6"
"organic compounds do not contain  potassium","5041-52ea-f8a3-b6d3"
"the  noble gases family; group 18  contains  helium; neon; argon; krypton; xenon; radon","a1f4-f812-20c2-5665"
"the  alkali metals; group 1  contains  lithium; sodium; potassium; rubidium; caesium; francium","5c51-37b3-705e-45b4"
"moist air mass  contains a high amount of water vapor","1fd7-6b9d-6694-78b6"
"waves  contain  mechanical energy","ee0a-6d90-da47-2142"
"objects  contain  chemical energy","e65c-0bb6-dda2-468e"
"sunlight  contains  infrared light","ae96-07b4-2111-c065"
"the  solar system  contains eight planets","88a6-71df-a8e2-2fe0"
"Mars  contains  ice","0789-62ef-cc21-b53d"
"Earth  contains  water; ice; (steam, water vapor)","4d12-5dbb-bcb0-8861"
"all planets do not contain  water; ice; (steam, water vapor)","34b8-2d96-32ae-8fcb"
"a  terrain  contains a surface","5ae7-31d2-8a0e-0d93"
"the  solar system  contains  asteroids","4a68-5032-17cd-8391"
