Year	1	2	3	4	5	6	7	8	9	10	11	12
1973	-0.379	-0.398	-0.349	-0.27	-0.174	-0.18	-0.109	-0.138	-0.136	-0.221	-0.214	-0.243
1974	-0.281	-0.289	-0.406	-0.528	-0.505	-0.452	-0.52	-0.473	-0.511	-0.513	-0.431	-0.366
1975	-0.278	-0.344	-0.314	-0.35	-0.393	-0.3	-0.277	-0.19	-0.341	-0.359	-0.346	-0.327
1976	-0.389	-0.446	-0.498	-0.431	-0.493	-0.488	-0.312	-0.19	-0.198	-0.298	-0.421	-0.437
1977	-0.394	-0.338	-0.188	-0.222	-0.175	-0.112	-0.11	-0.15	-0.237	-0.229	-0.148	-0.209
1978	-0.111	-0.152	-0.163	-0.2	-0.208	-0.337	-0.281	-0.231	-0.194	-0.212	-0.124	-0.187
1979	-0.197	-0.155	-0.232	-0.241	-0.122	-0.046	-0.098	-0.119	-0.113	-0.092	-0.089	-0.063
1980	-0.005	-0.082	-0.142	-0.004	0.126	0.105	0.047	0.019	-0.012	-0.065	-0.201	-0.253
1981	-0.181	-0.179	0.002	-0.094	-0.083	-0.061	-0.093	-0.114	-0.035	-0.186	-0.136	-0.005
1982	-0.08	-0.077	-0.079	-0.181	-0.19	-0.183	-0.228	-0.308	-0.306	-0.37	-0.416	-0.379
1983	-0.297	-0.103	0.082	0.06	-0.047	-0.053	-0.014	-0.157	-0.215	-0.194	-0.157	-0.002
1984	-0.105	-0.087	-0.124	-0.156	-0.165	-0.323	-0.265	-0.225	-0.208	-0.343	-0.423	-0.317
1985	-0.353	-0.328	-0.355	-0.4	-0.336	-0.127	-0.152	-0.281	-0.247	-0.244	-0.294	-0.336
1986	-0.342	-0.274	-0.292	-0.324	-0.228	-0.261	-0.248	-0.272	-0.219	-0.318	-0.397	-0.371
1987	-0.277	-0.217	-0.032	0.03	0.068	0.203	0.28	0.28	0.194	0.047	-0.07	0.043
1988	-0.042	-0.116	-0.011	0.05	0.136	0.164	0.107	-0.011	-0.098	-0.173	-0.15	-0.167
1989	-0.224	-0.159	-0.256	-0.293	-0.15	0.088	0.174	0.11	-0.098	-0.127	-0.153	-0.156
1990	-0.302	-0.165	-0.182	-0.121	-0.062	-0.06	-0.025	0.049	0.143	0.109	-0.057	-0.04
1991	-0.199	-0.121	-0.073	-0.137	-0.158	-0.134	-0.112	-0.113	-0.042	-0.267	-0.266	-0.219
1992	-0.195	-0.099	-0.097	-0.189	-0.227	-0.156	-0.224	-0.386	-0.375	-0.305	-0.34	-0.29
1993	-0.246	-0.192	-0.25	-0.179	-0.17	-0.187	-0.283	-0.235	-0.17	-0.249	-0.324	-0.299
1994	-0.302	-0.315	-0.285	-0.206	-0.213	-0.228	-0.238	-0.242	-0.159	-0.066	-0.026	-0.097
1995	-0.069	-0.047	0.009	0.069	0.265	0.357	0.307	0.176	0.047	0.095	0.12	0.035
1996	-0.017	-0.039	-0.065	0.002	-0.072	-0.131	-0.112	-0.016	-0.009	-0.152	-0.181	-0.162
1997	-0.099	-0.043	-0.002	0	0.032	0.001	0.053	0.008	0.102	0.143	0.044	0.124
1998	0.122	0.284	0.314	0.284	0.376	0.482	0.48	0.505	0.405	0.374	0.309	0.272
1999	0.043	0.05	0.061	0.044	0.155	0.172	0.19	0.299	0.177	0.009	-0.056	0.007
2000	-0.091	-0.046	0.096	0.034	0.097	-0.026	0.065	0.095	0.094	-0.048	-0.061	-0.135
2001	-0.135	-0.034	0.007	-0.02	-0.017	0.19	0.127	0.17	0.278	0.244	0.148	0.206
2002	0.174	0.157	0.137	0.019	-0.056	-0.125	-0.073	0.099	0.072	0.103	0.011	-0.003
2003	0.042	-0.02	0.105	0.071	0.143	0.197	0.268	0.407	0.444	0.418	0.215	0.216
2004	0.203	0.201	0.15	0.1	-0.002	0.169	0.22	0.309	0.232	0.234	0.213	0.179
2005	0.103	0.117	0.276	0.284	0.285	0.319	0.439	0.432	0.411	0.23	0.132	0.208
2006	0.115	0.067	0.052	0.189	0.3	0.325	0.366	0.393	0.356	0.326	0.281	0.163
2007	0.163	0.209	0.119	0.151	0.103	0.08	0.121	0.047	0.09	0.15	0.168	0.103
2008	0.022	0.12	0.15	0.035	0.164	0.248	0.198	0.167	0.19	0.094	-0.007	0.01
2009	-0.067	-0.172	-0.168	-0.139	-0.07	0.113	0.22	0.144	0.049	0.156	0.061	0.074
2010	0.032	0.169	0.279	0.417	0.451	0.439	0.442	0.517	0.441	0.316	0.227	0.199
2011	0.135	0.1	0.047	0.084	0.144	0.17	0.083	0.138	0.136	0.054	-0.079	-0.053
2012	-0.073	-0.004	0.017	0.072	0.156	0.292	0.367	0.422	0.44	0.321	0.156	0.132
2013	0.119	0.107	0.15	0.128	0.092	0.038	0.182	0.186	0.246	0.338	0.12	0.028
2014	-0.071	-0.051	-0.09	-0.103	-0.01	0.053	0.213	0.326	0.301	0.283	0.056	0.05
2015	-0.017	-0.013	-0.138	-0.08	0.036	0.02	0.123	0.169	0.291	0.315	0.178	0.22
2016	0.222	0.147	0.179	0.168	0.335	0.4	0.423	0.447	0.449	0.371	0.381	0.326
2017	0.216	0.218	0.158	0.274	0.305	0.299	0.293	0.301	0.341	0.424	0.343	0.355
2018	0.164	0.053	0.123	0.054	-0.01	-0.02	0.008	0.103	0.153	0.134	-0.13	-0.069
2019	-0.024	0.071	0.112	0.114	0.079	0.164	0.343	0.329	0.236	0.149	0.101	0.155
2020	0.087	0.347	0.359	0.36	0.257	0.263	0.355	0.439	-99.99	-99.99	-99.99	-99.99
